Removed Pin From Net: NetName=GND Pin=Q3-2
Removed Pin From Net: NetName=NetQ1_1 Pin=Q3-3
Removed Pin From Net: NetName=+12 Pin=Q3-4
Removed Member From Class: ClassName=MecaVac Member=Q3
Change Component Comment : Designator=C3 Old Comment=K104K15X7RF5TL2 New Comment=10uF
Change Component Comment : Designator=U1 Old Comment=LM35DT New Comment=LM1117T33
Change Component Designator: OldDesignator=C2 NewDesignator=C3
Change Component Designator: OldDesignator=C3 NewDesignator=C4
Change Component Designator: OldDesignator=P2 NewDesignator=Peltier 2
Change Component Designator: OldDesignator=P3 NewDesignator=Peltier 1
Change component parameters: Designator = "R3" ("R3"); Footprint = "AXIAL-0.3"; UniqueID = "\LKRNUWHV" ("\LKRNUWHV")
Add component (AddParameter): Name = "Standard Package"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness (Max)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=C5(VISH-K104K15X7RF5TL2)
Add component (AddParameter): Name = "Applications"; Value = "GeneralPurpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "0.1µF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Catalog Drawings"; Value = "Mono-KapSide2-15_5.58Mono-KapSide1_15"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://www.vishay.com/docs/45171/kseries.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "08/2013"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Family"; Value = "CeramicCapacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.220"(5.58mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Spacing"; Value = "0.098"(2.50mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Style"; Value = "Straight"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Vishay"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.vishay.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "ThroughHole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "ThroughHole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Online Catalog"; Value = "Mono-Kap™Series"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C~125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Other Names"; Value = "BC1084CT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "Radial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Through Hole Device, Body 4 x 2.6 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "K104K15X7RF5TL2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "CutTape(CT)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "Mono-Kap™K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.157"Lx0.098"W(4.00mmx2.50mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Standard Package"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness (Max)"; Value = "-"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Rated"; Value = "50V"; VariantName = "[No Variations]"
Added Component: Designator=C6(FP-RAD-TH-D_18_0_5-L_35_5-MFG)
Add component (AddParameter): Name = "Capacitance"; Value = "10mF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "Radial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Construction"; Value = "RADIAL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Diameter"; Value = "18mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric Material"; Value = "Aluminium"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ESR (Equivalent Series Resistance)"; Value = "15mR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "General Purpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "35.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "1.398inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Impedance"; Value = "15mR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Diameter"; Value = "0.8mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "7.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Leakage Current"; Value = "3uA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "35mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Life (Hours)"; Value = "5000Hour"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "105°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "50"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "AEC-Q200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ripple Current"; Value = "3.68A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "FC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "Radial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "10V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "10V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "10V"; VariantName = "[No Variations]"
Added Component: Designator=Q4(ONSC-TO-92-3-29-11_AM_BL)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.onsemi.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.onsemi.com/pub_link/Collateral/BC546-D.PDF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.onsemi.com/pub_link/Collateral/MAC97-D.PDF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "Rev. 7"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "fT Min (MHz)"; Value = "150"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "IC Continuous (A)"; Value = "0.1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "On Semiconductor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Through Hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "3-Pin Transistor Outline, Body 4.825 x 3.685 mm, Pitch 1.27 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "TO-92-3-29-11_AM_BL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "Rev. AM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packing"; Value = "Ammo Box"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "BC546BZL1G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Polarity"; Value = "NPN"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Added Component: Designator=R4(AXIAL-0.3)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "1k"; VariantName = "[No Variations]"
Added Component: Designator= (FP-Q3-4-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "IC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheets.maximintegrated.com/en/ds/DS18B20.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Sensors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Temperature and Humidity Sensors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "unset"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "SENSOR DIGITAL -55C-125C TO92-3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "9.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Interface"; Value = "Other"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ipc Land Pattern Name"; Value = "TO-92"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Maxim Integrated"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "DS18B20+T&R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Supply Voltage"; Value = "5.5V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Supply Voltage"; Value = "3V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "Board Mount Temperature Sensors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/ds18b20%2Bt%26r-maxim+integrated-10547047"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Supply Current"; Value = "1mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "Q3-4"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resolution"; Value = "9/10/11/12bits"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sensor Output"; Value = "Other"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Standoff Height"; Value = "0.51mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-55°C to +125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin= -1
Added Pin To Net: NetName=NetC2_2 Pin= -3
Added Pin To Net: NetName=GND Pin=C1-1
Added Pin To Net: NetName=+12 Pin=C1-2
Added Pin To Net: NetName=GND Pin=C2-1
Added Pin To Net: NetName=+12 Pin=C2-2
Added Pin To Net: NetName=GND Pin=C3-1
Added Pin To Net: NetName=GND Pin=C4-1
Added Pin To Net: NetName=GND Pin=C5-1
Added Pin To Net: NetName=+12 Pin=C5-2
Added Pin To Net: NetName=GND Pin=C6-1
Added Pin To Net: NetName=+12 Pin=C6-2
Added Pin To Net: NetName=+12 Pin=D1-2
Added Pin To Net: NetName=+12 Pin=D2-2
Added Pin To Net: NetName=NetC2_2 Pin=MD1-2
Added Pin To Net: NetName=+12 Pin=Q4-1
Added Pin To Net: NetName=NetQ1_1 Pin=Q4-3
Added Pin To Net: NetName=NetC2_2 Pin=R2-2
Added Pin To Net: NetName=GND Pin=R4-1
Added Pin To Net: NetName=+12 Pin=U1-1
Added Pin To Net: NetName=GND Pin=U1-2
Change Net Name : Old Net Name=+12 New Net Name=+12V
Change Net Name : Old Net Name=NetC2_2 New Net Name=+3.3V
Added Pin To Net: NetName=Net _2 Pin= -2
Added Pin To Net: NetName=Net _2 Pin=MD1-30
Added Net: Name=Net _2
Added Pin To Net: NetName=NetMD1_27 Pin=MD1-27
Added Pin To Net: NetName=NetMD1_27 Pin=R3-2
Added Net: Name=NetMD1_27
Added Pin To Net: NetName=NetPeltier 1_1 Pin=Peltier 1-1
Added Pin To Net: NetName=NetPeltier 1_1 Pin=Q1-2
Added Net: Name=NetPeltier 1_1
Added Pin To Net: NetName=NetPeltier 2_2 Pin=Peltier 2-2
Added Pin To Net: NetName=NetPeltier 2_2 Pin=Q2-2
Added Net: Name=NetPeltier 2_2
Added Pin To Net: NetName=NetQ4_2 Pin=Q4-2
Added Pin To Net: NetName=NetQ4_2 Pin=R3-1
Added Pin To Net: NetName=NetQ4_2 Pin=R4-2
Added Net: Name=NetQ4_2
Added Member To Class: ClassName=MecaVac Member=Component C4 10uF
Added Member To Class: ClassName=MecaVac Member=Component C5 10uF
Added Member To Class: ClassName=MecaVac Member=Component C6 10mF
Added Member To Class: ClassName=MecaVac Member=Component Q4 BC546BZL1G
Added Member To Class: ClassName=MecaVac Member=Component R4 Res1
Added Member To Class: ClassName=MecaVac Member=Component   DS18B20 (3 Sensores paralelos)
